scenariu,sectiune,mod,imagine,det_scenariu,clase_gasite,confidence_medie,preprocess_ms,inferenta_ms,total_ms,fps,decizie,motiv_decizie
persoane,5.7.1,CPU,coco_000000000872_person.jpg,1,person,0.58,0.5,55.41,55.91,17.88,emergency_stop,PERICOL CRITIC: person la distanță 0.87
persoane,5.7.1,CPU,coco_000000002261_person.jpg,1,person,0.639,0.31,33.74,34.05,29.37,emergency_stop,Menținere decizie anterioară (reaction time)
persoane,5.7.1,CPU,coco_000000002431_person.jpg,0,,,0.36,32.92,33.28,30.05,emergency_stop,Menținere decizie anterioară (reaction time)
persoane,5.7.1,CPU,coco_000000017899_person.jpg,0,,,0.33,30.87,31.2,32.05,continue,"Drum liber, niciun obstacol detectat"
persoane,5.7.1,CPU,coco_000000019109_person.jpg,0,,,0.31,31.43,31.74,31.51,continue,Menținere decizie anterioară (reaction time)
persoane,5.7.1,CPU,coco_000000025057_person.jpg,1,person,0.813,0.35,29.27,29.61,33.77,continue,Menținere decizie anterioară (reaction time)
persoane,5.7.1,CPU,coco_000000037689_person.jpg,2,person;person,0.483,0.33,30.45,30.78,32.49,continue,"Obstacol îndepărtat: person, precauție"
persoane,5.7.1,CPU,coco_000000054931_person.jpg,1,person,0.835,0.32,29.54,29.87,33.48,continue,Menținere decizie anterioară (reaction time)
persoane,5.7.1,CPU,coco_000000055022_person.jpg,0,,,0.31,29.61,29.92,33.42,continue,Menținere decizie anterioară (reaction time)
persoane,5.7.1,CPU,coco_000000060102_person.jpg,1,person,0.72,0.37,31.14,31.51,31.73,emergency_stop,PERICOL CRITIC: person la distanță 1.00
persoane,5.7.1,CPU,coco_000000060932_person.jpg,2,person;person,0.579,0.32,30.92,31.24,32.01,emergency_stop,Menținere decizie anterioară (reaction time)
persoane,5.7.1,CPU,coco_000000072281_person.jpg,1,person,0.771,0.31,30.05,30.36,32.93,emergency_stop,Menținere decizie anterioară (reaction time)
persoane,5.7.1,CPU,coco_000000080022_person.jpg,1,person,0.88,0.35,31.21,31.55,31.69,emergency_stop,PERICOL CRITIC: person la distanță 1.00
persoane,5.7.1,CPU,coco_000000084241_person.jpg,2,person;person,0.736,0.32,32.13,32.45,30.82,emergency_stop,Menținere decizie anterioară (reaction time)
persoane,5.7.1,CPU,coco_000000085329_person.jpg,1,person,0.563,0.33,35.0,35.33,28.3,emergency_stop,Menținere decizie anterioară (reaction time)
persoane,5.7.1,CPU,coco_000000085682_person.jpg,0,,,0.32,32.84,33.16,30.16,continue,"Drum liber, niciun obstacol detectat"
persoane,5.7.1,CPU,coco_000000103723_person.jpg,1,person,0.713,0.34,34.3,34.64,28.87,continue,Menținere decizie anterioară (reaction time)
persoane,5.7.1,CPU,coco_000000114884_person.jpg,2,person;person,0.696,0.64,45.97,46.61,21.45,continue,Menținere decizie anterioară (reaction time)
persoane,5.7.1,CPU,coco_000000118405_person.jpg,0,,,0.31,35.95,36.25,27.58,continue,"Drum liber, niciun obstacol detectat"
persoane,5.7.1,CPU,coco_000000119516_person.jpg,0,,,0.31,33.82,34.13,29.3,continue,Menținere decizie anterioară (reaction time)
persoane,5.7.1,CPU,coco_000000122606_person.jpg,0,,,0.35,31.27,31.63,31.62,continue,Menținere decizie anterioară (reaction time)
persoane,5.7.1,CPU,coco_000000128675_person.jpg,3,person;person;person,0.599,0.31,34.52,34.83,28.71,continue,"Obstacol îndepărtat: person, precauție"
persoane,5.7.1,CPU,coco_000000132587_person.jpg,0,,,0.31,33.02,33.34,30.0,continue,Menținere decizie anterioară (reaction time)
persoane,5.7.1,CPU,coco_000000135890_person.jpg,0,,,0.35,42.07,42.43,23.57,continue,Menținere decizie anterioară (reaction time)
persoane,5.7.1,CPU,coco_000000137294_person.jpg,1,person,0.836,0.37,41.88,42.25,23.67,continue,"Drum liber, niciun obstacol detectat"
persoane,5.7.1,CPU,coco_000000140270_person.jpg,1,person,0.676,0.34,34.16,34.5,28.98,continue,Menținere decizie anterioară (reaction time)
persoane,5.7.1,CPU,coco_000000143068_person.jpg,1,person,0.805,0.33,33.43,33.76,29.62,continue,Menținere decizie anterioară (reaction time)
persoane,5.7.1,CPU,coco_000000143556_person.jpg,1,person,0.69,0.33,33.61,33.95,29.46,emergency_stop,PERICOL CRITIC: person la distanță 0.80
persoane,5.7.1,CPU,coco_000000148739_person.jpg,1,person,0.798,0.31,33.18,33.48,29.87,emergency_stop,Menținere decizie anterioară (reaction time)
